Date,Patients Registered,Active Doctors,Online Orders,Revenue (USD),Daily Appointments,Customer Satisfaction,Medicine Prediction Accuracy,Readmission Prediction Accuracy,Recommendation Accuracy,Inventory Forecast Accuracy
24-Jan-2026,131,435,1002,66980,1368,4.7,97.0%,94.4%,94.3%,95.9%
25-Jan-2026,185,407,1002,65608,1237,4.7,98.3%,96.3%,94.0%,97.6%
26-Jan-2026,143,382,950,57891,1264,4.6,96.4%,97.1%,93.4%,94.7%
27-Jan-2026,182,403,1292,84598,1149,4.8,97.2%,96.6%,93.5%,95.4%
28-Jan-2026,166,427,1553,107963,1290,4.6,95.6%,95.8%,93.3%,94.4%
29-Jan-2026,200,427,1566,97352,1400,5.0,98.0%,96.8%,93.8%,95.8%
30-Jan-2026,132,384,1509,107353,1254,4.9,98.5%,94.3%,95.9%,94.2%
31-Jan-2026,144,406,1513,110159,1386,5.0,98.1%,95.3%,95.9%,97.6%
01-Feb-2026,128,410,1379,95740,1357,4.9,95.2%,94.6%,96.9%,95.2%
02-Feb-2026,192,383,1144,83892,1303,4.7,96.6%,95.6%,93.3%,95.8%
03-Feb-2026,185,404,1525,112893,1305,4.8,95.3%,93.5%,95.3%,96.4%
04-Feb-2026,121,436,1475,100591,1368,4.6,97.9%,94.7%,94.1%,94.5%
05-Feb-2026,148,382,1496,96174,1120,4.8,98.3%,94.6%,93.5%,97.5%
06-Feb-2026,126,421,1204,93685,1207,4.8,94.5%,94.9%,95.4%,95.5%
07-Feb-2026,130,440,1512,97906,1168,4.7,96.9%,94.8%,93.2%,97.3%
08-Feb-2026,165,394,1236,78092,1108,4.8,98.4%,96.6%,96.1%,94.4%
09-Feb-2026,215,424,1341,103286,1231,4.9,97.0%,95.7%,96.3%,94.9%
10-Feb-2026,154,393,1545,110214,1302,4.6,95.4%,96.4%,94.5%,97.6%
11-Feb-2026,131,411,1135,77485,1190,4.6,96.5%,96.4%,95.6%,94.1%
12-Feb-2026,140,436,1131,84502,1411,4.6,95.1%,95.2%,94.8%,96.6%
13-Feb-2026,171,386,1489,93019,1106,4.8,96.0%,93.6%,96.3%,97.1%
14-Feb-2026,202,439,994,62004,1142,4.6,98.3%,95.9%,96.2%,94.0%
15-Feb-2026,133,414,1296,97652,1143,4.6,96.4%,95.8%,94.8%,94.7%
16-Feb-2026,162,410,1108,71342,1378,4.8,97.0%,94.0%,96.3%,94.4%
17-Feb-2026,157,386,1473,111883,1312,4.6,98.1%,93.6%,94.7%,94.6%
18-Feb-2026,203,398,1181,90453,1450,4.7,98.0%,96.8%,93.4%,94.7%
19-Feb-2026,134,394,1054,81386,1244,4.7,97.0%,94.0%,96.7%,97.7%
20-Feb-2026,125,418,1104,69778,1371,4.7,95.2%,95.2%,96.6%,96.7%
21-Feb-2026,199,432,1243,82374,1153,4.6,96.5%,95.0%,94.1%,97.6%
22-Feb-2026,129,430,952,71886,1176,4.9,95.1%,94.1%,94.8%,97.2%
23-Feb-2026,181,432,1018,63153,1318,5.0,95.6%,93.9%,97.0%,94.7%
24-Feb-2026,169,402,1276,87910,1346,4.8,96.2%,96.7%,94.3%,97.2%
25-Feb-2026,203,438,1201,80343,1381,4.7,96.6%,95.6%,96.3%,95.5%
26-Feb-2026,194,425,1381,95958,1212,4.9,95.4%,93.5%,97.0%,94.1%
27-Feb-2026,191,410,1086,83161,1130,5.0,95.9%,96.9%,96.1%,94.6%
28-Feb-2026,178,389,1514,117324,1315,4.6,97.8%,93.7%,93.6%,97.8%
01-Mar-2026,210,389,1336,97789,1317,4.7,97.3%,96.2%,93.3%,97.3%
02-Mar-2026,140,381,1100,73231,1140,4.6,94.5%,96.8%,94.7%,97.1%
03-Mar-2026,180,427,1093,80298,1253,4.7,97.4%,95.3%,95.6%,94.1%
04-Mar-2026,134,389,1011,76695,1116,4.8,95.2%,94.1%,94.6%,95.7%
05-Mar-2026,178,415,1214,92925,1356,4.7,95.4%,97.2%,94.1%,94.4%
06-Mar-2026,168,440,1078,79099,1305,4.8,95.4%,94.2%,96.0%,96.2%
07-Mar-2026,129,432,1429,98020,1434,4.8,97.8%,94.2%,96.2%,96.6%
08-Mar-2026,144,397,1061,65653,1285,4.8,97.9%,93.6%,94.1%,96.2%
09-Mar-2026,128,393,1561,93968,1258,4.6,95.3%,97.2%,94.0%,94.3%
10-Mar-2026,192,416,995,69796,1347,4.5,95.8%,97.3%,93.0%,95.4%
11-Mar-2026,156,405,1462,92848,1300,4.9,98.4%,96.3%,93.4%,95.6%
12-Mar-2026,214,412,1053,72698,1176,4.5,97.7%,95.4%,96.5%,94.1%
13-Mar-2026,140,389,1424,87458,1420,4.5,97.4%,97.0%,96.2%,96.6%
14-Mar-2026,218,425,1114,86759,1356,4.8,97.4%,96.1%,96.7%,95.4%
15-Mar-2026,220,388,1297,84609,1419,4.9,96.2%,97.1%,96.1%,95.6%
16-Mar-2026,146,419,1571,96380,1178,4.8,98.5%,93.9%,93.1%,97.1%
17-Mar-2026,159,415,1039,71670,1332,4.7,98.2%,94.1%,94.1%,95.5%
18-Mar-2026,131,384,1133,82473,1335,4.6,96.4%,94.5%,96.5%,96.6%
19-Mar-2026,137,440,1076,83379,1349,4.5,97.9%,95.1%,96.4%,97.7%
20-Mar-2026,136,408,1325,91722,1419,5.0,96.0%,96.2%,95.0%,95.1%
21-Mar-2026,207,382,1585,122986,1129,4.9,95.5%,96.8%,93.0%,97.4%
22-Mar-2026,157,404,1112,78131,1137,4.6,98.0%,96.2%,94.4%,95.9%
23-Mar-2026,188,437,1426,88360,1192,4.9,98.2%,97.2%,96.1%,94.8%
24-Mar-2026,162,384,1274,84292,1409,4.7,97.3%,95.4%,94.1%,94.2%
25-Mar-2026,139,440,1431,89608,1209,4.7,94.6%,95.9%,94.5%,97.7%
26-Mar-2026,166,430,1390,107883,1209,4.5,98.0%,97.3%,95.7%,95.1%
27-Mar-2026,201,391,1035,64740,1240,4.7,95.7%,96.3%,96.5%,96.1%
28-Mar-2026,205,437,1215,76925,1127,4.5,98.1%,94.9%,96.0%,94.7%
29-Mar-2026,164,440,1379,94694,1374,4.8,95.1%,96.3%,94.4%,96.8%
30-Mar-2026,169,432,960,67292,1405,4.6,97.4%,95.8%,93.6%,96.7%
31-Mar-2026,213,427,1274,76765,1334,5.0,96.5%,94.8%,96.2%,96.7%
01-Apr-2026,153,413,953,74132,1164,4.8,97.1%,95.8%,93.1%,97.0%
02-Apr-2026,144,406,1509,111573,1407,4.7,95.9%,97.3%,96.9%,96.3%
03-Apr-2026,121,403,1322,79705,1257,4.8,98.0%,96.3%,95.6%,95.8%
04-Apr-2026,172,402,1310,98128,1318,4.8,97.6%,94.0%,93.7%,95.7%
05-Apr-2026,142,415,1559,98104,1323,4.7,97.9%,96.3%,94.7%,95.1%
06-Apr-2026,199,440,1051,81890,1153,4.5,94.6%,97.2%,93.4%,97.0%
07-Apr-2026,199,439,1507,93124,1327,4.8,97.7%,96.2%,96.4%,94.8%
08-Apr-2026,219,409,1514,101225,1200,4.9,98.3%,94.9%,96.2%,95.9%
09-Apr-2026,202,425,1355,81485,1291,4.9,96.5%,94.6%,95.6%,95.2%
10-Apr-2026,173,423,1197,71909,1312,4.5,94.6%,96.7%,96.4%,96.1%
11-Apr-2026,214,418,1275,84190,1392,5.0,95.5%,97.4%,93.8%,96.6%
12-Apr-2026,126,431,1541,104362,1425,4.7,97.4%,95.1%,94.3%,94.6%
13-Apr-2026,149,386,1079,74533,1423,4.8,96.1%,96.5%,96.7%,97.3%
14-Apr-2026,140,440,1280,81494,1147,4.5,94.5%,96.6%,93.6%,96.5%
15-Apr-2026,189,438,1030,72401,1112,4.9,95.0%,95.3%,95.5%,95.4%
16-Apr-2026,150,421,1177,76910,1374,4.9,97.4%,96.7%,94.5%,95.0%
17-Apr-2026,126,397,1034,79441,1421,4.5,98.4%,97.0%,93.4%,97.7%
18-Apr-2026,135,386,1095,71267,1192,4.5,96.5%,94.9%,96.4%,95.6%
19-Apr-2026,182,430,972,65558,1349,5.0,94.8%,96.2%,94.5%,95.3%
20-Apr-2026,177,431,1114,70445,1105,5.0,97.1%,96.0%,96.4%,94.5%
21-Apr-2026,163,402,1445,112577,1407,4.8,95.1%,96.5%,96.7%,94.8%
22-Apr-2026,123,414,973,67452,1178,4.6,96.0%,97.1%,93.1%,94.6%
23-Apr-2026,130,426,1079,69937,1346,4.6,94.9%,96.3%,95.6%,95.9%
24-Apr-2026,183,407,1474,113548,1198,4.6,95.3%,96.9%,95.9%,97.8%
25-Apr-2026,133,417,1551,101758,1205,5.0,96.5%,97.0%,94.7%,97.0%
26-Apr-2026,160,419,1060,75187,1319,4.6,95.9%,97.1%,96.3%,95.8%
27-Apr-2026,124,412,1209,85311,1250,4.8,98.0%,97.3%,95.1%,95.6%
28-Apr-2026,134,391,1280,86693,1195,4.7,94.8%,96.1%,94.5%,97.1%
29-Apr-2026,135,380,1276,92368,1268,4.6,96.8%,94.8%,93.9%,94.3%
30-Apr-2026,156,418,1167,81095,1152,4.8,97.4%,97.3%,96.2%,96.7%
01-May-2026,193,437,1381,99816,1322,4.7,95.8%,94.3%,96.2%,96.0%
02-May-2026,155,406,1072,66714,1187,4.8,96.9%,94.4%,93.1%,94.1%
03-May-2026,220,434,1539,119708,1336,4.6,97.9%,95.1%,96.6%,97.7%
04-May-2026,125,401,966,59167,1148,4.9,96.2%,94.7%,94.3%,95.4%
05-May-2026,130,415,1270,87488,1124,4.7,97.3%,95.3%,96.4%,97.9%
06-May-2026,135,433,1332,102402,1152,4.5,94.7%,93.5%,93.4%,95.3%
07-May-2026,208,426,1396,89447,1145,4.6,98.1%,95.0%,96.6%,98.0%
08-May-2026,208,435,1003,64868,1122,4.6,98.3%,93.8%,94.3%,96.5%
09-May-2026,168,397,1124,86151,1398,4.7,95.0%,96.9%,96.0%,97.6%
10-May-2026,172,420,1407,101343,1367,4.8,96.8%,96.1%,96.9%,95.3%
11-May-2026,213,410,1181,72811,1251,4.9,95.9%,96.8%,94.0%,96.6%
12-May-2026,146,424,1029,63131,1353,4.5,94.6%,94.4%,96.3%,94.8%
13-May-2026,133,401,1163,86820,1370,4.8,95.8%,97.3%,95.8%,96.6%
14-May-2026,184,386,1083,69244,1286,4.7,96.3%,96.0%,93.8%,95.6%
15-May-2026,128,397,1383,87067,1257,5.0,96.8%,93.9%,94.8%,94.4%
16-May-2026,134,395,966,73506,1195,4.6,96.4%,95.6%,94.4%,94.5%
17-May-2026,190,385,1312,88909,1177,4.7,96.2%,94.8%,94.8%,95.5%
18-May-2026,126,421,1341,98129,1316,4.6,95.3%,94.2%,94.1%,96.4%
19-May-2026,186,407,1061,76668,1430,4.6,94.9%,94.0%,96.6%,96.3%
20-May-2026,150,384,1494,92356,1215,4.9,97.3%,95.1%,94.6%,94.9%
21-May-2026,208,397,1457,92814,1204,4.7,95.7%,95.9%,95.9%,94.4%
22-May-2026,184,438,1587,108839,1256,4.9,97.3%,94.2%,95.7%,94.7%
23-May-2026,162,437,1416,88575,1106,4.8,96.2%,93.6%,96.9%,97.5%
24-May-2026,141,423,959,67793,1342,4.8,96.5%,94.5%,93.4%,97.3%
25-May-2026,192,423,1247,93570,1368,4.8,97.5%,96.6%,93.4%,97.2%
26-May-2026,162,408,1452,106325,1379,4.6,96.4%,95.0%,93.1%,95.4%
27-May-2026,210,401,1480,109433,1405,4.7,95.6%,95.6%,95.6%,94.6%
28-May-2026,172,434,1175,84445,1172,4.7,94.6%,95.8%,95.8%,95.7%
29-May-2026,146,427,1041,66092,1293,4.8,98.4%,97.0%,95.7%,97.6%
30-May-2026,177,436,1489,94029,1447,4.7,95.8%,95.9%,96.8%,95.1%
31-May-2026,144,382,1543,107024,1275,4.9,95.0%,96.7%,95.3%,97.2%
01-Jun-2026,164,398,1062,82252,1355,5.0,95.1%,96.2%,95.1%,95.2%
02-Jun-2026,191,422,1116,73059,1247,4.5,95.7%,95.3%,93.9%,97.3%
03-Jun-2026,135,383,1450,94981,1320,4.7,97.8%,93.7%,93.6%,97.5%
04-Jun-2026,220,434,1464,105372,1387,4.6,94.8%,94.6%,97.0%,94.8%
05-Jun-2026,194,438,1032,67321,1116,4.7,95.9%,96.7%,95.5%,95.7%
06-Jun-2026,132,437,1217,93177,1405,4.7,96.8%,96.2%,94.3%,96.3%
07-Jun-2026,207,429,1154,74433,1313,4.8,95.7%,93.8%,95.3%,96.5%
08-Jun-2026,189,391,1334,98827,1323,4.5,96.6%,96.3%,95.0%,96.7%
09-Jun-2026,165,409,1312,88819,1315,5.0,96.3%,97.2%,93.1%,97.1%
10-Jun-2026,131,428,1093,77683,1254,4.9,96.8%,95.0%,95.5%,97.6%
11-Jun-2026,157,383,1352,84184,1443,4.5,97.7%,97.0%,94.8%,94.2%
12-Jun-2026,127,397,1059,69896,1149,4.9,96.8%,96.3%,96.5%,94.5%
13-Jun-2026,194,423,1473,107983,1127,4.9,96.6%,95.7%,96.9%,94.5%
14-Jun-2026,206,420,1108,72480,1259,4.9,98.2%,96.7%,95.5%,94.8%
15-Jun-2026,128,380,1106,78380,1161,4.8,95.5%,93.9%,93.1%,96.0%
16-Jun-2026,170,383,1074,70238,1347,5.0,97.8%,96.9%,95.2%,97.3%
17-Jun-2026,207,408,1581,98365,1174,4.8,95.2%,96.8%,95.6%,94.7%
18-Jun-2026,214,424,1509,95981,1345,4.6,97.2%,97.3%,95.0%,96.7%
19-Jun-2026,170,404,1059,72384,1317,4.6,95.6%,94.0%,94.6%,96.3%
20-Jun-2026,124,421,1584,107712,1281,5.0,96.4%,96.4%,94.1%,97.9%
21-Jun-2026,165,412,1465,93458,1368,4.7,94.8%,96.1%,94.4%,96.9%
22-Jun-2026,163,409,1093,71056,1437,4.7,96.1%,97.2%,95.6%,95.5%
23-Jun-2026,180,418,1134,79798,1359,4.9,96.6%,94.0%,94.3%,97.8%
24-Jun-2026,164,417,1582,118551,1134,4.5,97.9%,94.1%,93.4%,94.4%
25-Jun-2026,206,410,1281,94381,1221,4.6,98.0%,96.4%,94.5%,97.9%
26-Jun-2026,128,383,1576,101665,1119,4.9,94.8%,96.6%,95.4%,97.4%
27-Jun-2026,142,400,1060,76931,1293,4.6,97.0%,95.7%,93.8%,96.0%
28-Jun-2026,206,398,1180,75073,1182,4.7,96.6%,96.7%,93.3%,94.1%
29-Jun-2026,205,386,1158,70172,1171,4.9,95.9%,95.1%,95.2%,94.3%
30-Jun-2026,143,423,1490,102707,1206,4.8,96.4%,94.9%,95.5%,96.2%
01-Jul-2026,137,431,1018,69122,1420,4.7,94.8%,93.8%,96.1%,95.2%
02-Jul-2026,135,411,1186,72258,1376,4.7,95.4%,97.3%,96.7%,95.0%
03-Jul-2026,210,402,1019,77142,1180,5.0,94.8%,95.8%,96.4%,97.7%
04-Jul-2026,184,399,1358,96602,1379,4.8,94.9%,95.4%,96.7%,95.1%
05-Jul-2026,123,382,1296,87590,1202,4.7,97.6%,94.1%,95.2%,96.9%
06-Jul-2026,216,422,1013,65076,1137,4.9,96.8%,95.9%,96.3%,97.2%
07-Jul-2026,164,384,1376,97374,1413,5.0,98.1%,95.4%,93.5%,96.9%
08-Jul-2026,133,382,1458,100801,1432,4.7,96.4%,96.6%,96.5%,94.9%
09-Jul-2026,127,381,1150,80057,1294,4.8,97.5%,95.7%,93.2%,97.1%
10-Jul-2026,209,388,1390,100947,1381,4.6,96.3%,97.1%,96.9%,95.5%
11-Jul-2026,144,401,1397,106905,1221,4.6,96.9%,94.4%,96.0%,97.6%
12-Jul-2026,188,416,996,77525,1107,4.9,95.5%,93.7%,93.2%,95.8%
13-Jul-2026,156,382,1271,84259,1435,4.9,98.5%,94.0%,94.6%,96.6%
14-Jul-2026,204,384,1028,66309,1378,4.6,97.3%,96.8%,96.6%,97.4%
15-Jul-2026,176,425,1259,96874,1382,4.6,97.1%,95.6%,94.1%,96.8%
16-Jul-2026,184,386,1005,66570,1310,4.9,97.0%,94.6%,93.8%,94.5%
17-Jul-2026,186,394,1262,92573,1207,4.6,97.4%,96.7%,93.1%,94.9%
18-Jul-2026,176,421,1414,109096,1110,4.7,94.6%,94.6%,94.5%,97.3%
19-Jul-2026,130,383,1235,93097,1296,4.7,98.0%,95.0%,93.2%,94.8%
