Doctor ID,Department,Patients,Avg Consultation Time (mins),Rating
DR345,Pediatrics,39,27,4.9
DR346,Dermatology,45,24,4.6
DR347,Psychiatry,36,16,4.3
DR348,Neurology,73,25,5.0
DR349,Emergency,88,16,4.5
DR350,Nephrology,53,14,4.6
DR351,Oncology,52,22,4.7
DR352,General Medicine,87,20,4.4
DR353,ENT,51,30,4.8
DR354,Gastroenterology,130,14,4.3
DR355,Psychiatry,111,25,4.5
DR356,Gastroenterology,79,12,4.2
DR357,Neurology,123,23,5.0
DR358,Emergency,71,28,4.4
DR359,Oncology,30,32,4.8
DR360,Neurology,118,23,4.4
DR361,Cardiology,79,28,4.7
DR362,Pulmonology,38,13,4.4
DR363,Orthopedics,88,28,4.7
DR364,Endocrinology,85,16,4.5
DR365,Emergency,92,23,4.8
DR366,Pulmonology,81,12,4.4
DR367,Nephrology,46,18,4.8
DR368,Pediatrics,94,17,4.3
DR369,Nephrology,113,13,4.5
DR370,Oncology,62,29,4.7
DR371,Pediatrics,36,15,4.7
DR372,General Medicine,36,15,4.5
DR373,Psychiatry,45,29,4.4
DR374,Nephrology,49,18,4.8
DR375,Oncology,31,21,4.5
DR376,Cardiology,114,28,4.4
DR377,Pediatrics,119,16,4.5
DR378,Emergency,43,28,4.8
DR379,Cardiology,66,15,4.8
DR380,Gastroenterology,55,31,4.4
DR381,Orthopedics,96,18,4.5
DR382,Psychiatry,67,17,4.2
DR383,Gastroenterology,56,27,4.5
DR384,General Medicine,31,14,4.9
DR385,Ophthalmology,103,27,4.3
DR386,Cardiology,129,28,4.3
DR387,Nephrology,42,20,4.7
DR388,Gastroenterology,67,20,4.6
DR389,Cardiology,52,13,4.9
DR390,Endocrinology,116,22,4.5
DR391,Cardiology,42,13,4.2
DR392,Pulmonology,114,32,4.3
DR393,Endocrinology,86,31,4.4
DR394,Nephrology,41,23,4.9
DR395,Pulmonology,44,24,4.5
DR396,Gastroenterology,64,24,4.8
DR397,Gastroenterology,83,32,4.9
DR398,Pulmonology,44,16,4.8
DR399,General Medicine,50,15,4.5
DR400,Pediatrics,91,30,4.7
