Pharmacy,Orders,Revenue,Customer Rating
Nova Pharmacy #089,941,96025,4.5
Care Pharmacy #090,974,95808,5.0
Care Pharmacy #091,1461,140973,4.8
QuickCare #092,780,77112,5.0
QuickCare #093,906,92771,4.9
Nova Pharmacy #094,1098,95659,4.7
QuickCare #095,743,63818,4.2
Cure Pharmacy #096,844,82062,4.3
MediMart #097,1258,116608,4.6
Apex Rx #098,616,52930,4.2
City Pharmacy #099,1015,89273,4.8
Vital Care #100,1069,115988,4.9
MediMart #101,752,77851,4.4
Care Pharmacy #102,637,65857,4.6
Central Pharmacy #103,1082,116509,4.7
MetroMeds #104,1318,133407,4.2
City Pharmacy #105,914,96443,4.3
Trusted Rx #106,774,81954,4.3
HealthPlus #107,716,69758,4.8
MetroMeds #108,664,69793,4.5
Sunrise Pharmacy #109,932,82034,4.7
MediMart #110,740,68849,5.0
QuickCare #111,1382,119045,4.3
Care Pharmacy #112,723,66405,4.8
Wellness Rx #113,1313,123747,4.3
MetroMeds #114,1195,102790,4.3
Trusted Rx #115,985,102874,4.2
Neighborhood Pharma #116,682,58078,4.3
Care Pharmacy #117,1323,134011,4.9
Green Cross #118,1310,137792,4.8
MedLife #119,811,71836,4.4
Apex Rx #120,1021,92891,4.3
City Pharmacy #121,1210,108295,4.6
Care Pharmacy #122,1242,131232,4.4
Green Cross #123,604,59761,4.4
Vital Care #124,697,70029,4.9
MediMart #125,1119,101249,4.8
QuickCare #126,883,76226,4.3
MedLife #127,1301,138028,4.9
Neighborhood Pharma #128,780,69415,4.9
City Pharmacy #129,1260,118572,4.4
Family Pharmacy #130,942,94596,4.9
Apex Rx #131,644,56421,4.2
MediMart #132,780,69381,4.2
Vital Care #133,718,62301,4.4
Apex Rx #134,1206,119989,4.5
PrimeCare #135,835,87236,4.5
HealthPlus #136,842,87099,4.9
Sunrise Pharmacy #137,825,71641,4.7
City Pharmacy #138,1046,92700,4.9
Apex Rx #139,782,74042,4.3
QuickCare #140,1247,117174,4.4
PrimeCare #141,730,62635,4.7
Family Pharmacy #142,739,64867,4.6
Green Cross #143,775,80606,4.4
GoodHealth #144,1218,108304,4.8
Trusted Rx #145,774,76976,4.6
MetroMeds #146,688,65561,4.6
QuickCare #147,1205,116688,4.6
Central Pharmacy #148,1347,128911,4.9
MetroMeds #149,935,89625,4.4
Cure Pharmacy #150,752,81098,4.9
Green Cross #151,645,55470,4.6
Vital Care #152,634,60637,4.5
HealthPlus #153,1063,103517,4.3
Central Pharmacy #154,1309,135212,5.0
MedLife #155,967,89345,4.7
Care Pharmacy #156,616,59748,4.4
Apex Rx #157,1478,146705,4.7
Apex Rx #158,1074,112013,4.9
Sunrise Pharmacy #159,789,82644,4.5
Apex Rx #160,1320,133102,4.9
Care Pharmacy #161,994,106691,4.5
City Pharmacy #162,903,86369,4.4
Trusted Rx #163,1155,114784,4.4
Care Pharmacy #164,1235,132171,4.8
City Pharmacy #165,1127,122429,4.7
City Pharmacy #166,713,67431,4.6
City Pharmacy #167,974,91712,4.7
Care Pharmacy #168,1174,120609,4.4
PrimeCare #169,844,83126,4.7
Cure Pharmacy #170,1492,162594,4.4
MetroMeds #171,928,87062,4.4
Green Cross #172,883,76257,4.5
Apex Rx #173,1097,106997,4.9
Neighborhood Pharma #174,1326,130342,4.9
GoodHealth #175,1062,106756,4.8
Care Pharmacy #176,792,84979,4.6
Care Pharmacy #177,1000,107448,4.4
Care Pharmacy #178,711,63363,4.3
MedLife #179,1108,98348,4.4
Central Pharmacy #180,900,85872,4.7
MedLife #181,1085,101629,4.6
Central Pharmacy #182,898,80574,4.2
MetroMeds #183,1454,158029,4.7
Green Cross #184,1192,111535,4.7
PrimeCare #185,1097,109517,4.8
MediMart #186,1055,101754,4.7
GoodHealth #187,775,81167,4.4
Nova Pharmacy #188,895,93298,4.2
Nova Pharmacy #189,891,85890,4.3
Wellness Rx #190,1328,130652,4.3
Wellness Rx #191,1459,149843,4.9
MedLife #192,765,69574,4.2
PrimeCare #193,1188,104736,4.4
Wellness Rx #194,810,80240,4.2
PrimeCare #195,952,84441,4.6
Wellness Rx #196,1146,106049,4.9
Sunrise Pharmacy #197,1111,115780,5.0
PrimeCare #198,759,64596,4.8
Vital Care #199,939,95009,4.4
GoodHealth #200,1372,150257,4.7
